NUTS2024,NUTS2021,NUTS2016,NUTS2013,NUTS2010,NUTS2006,NUTS2003,NUTS1999
EL43,EL43,EL43,EL43,EL43,GR43,GR43,GR43
EL51,EL51,EL51,EL51,EL11,GR11,GR11,GR11
EL52,EL52,EL52,EL52,EL12,GR12,GR12,GR12
EL53,EL53,EL53,EL53,EL13,GR13,GR13,GR13
EL54,EL54,EL54,EL54,EL21,GR21,GR21,GR21
EL61,EL61,EL61,EL61,EL14,GR14,GR14,GR14
EL62,EL62,EL62,EL62,EL22,GR22,GR22,GR22
EL63,EL63,EL63,EL63,EL23,GR23,GR23,GR23
EL64,EL64,EL64,EL64,EL24,GR24,GR24,GR24
EL65,EL65,EL65,EL65,EL25,GR25,GR25,GR25
ELZZ,ELZZ,ELZZ,ELZZ,ELZZ,GRZZ,GRZZ,NA
ES11,ES11,ES11,ES11,ES11,ES11,ES11,ES11
ES12,ES12,ES12,ES12,ES12,ES12,ES12,ES12
ES12,ES12,ES12,ES12,ES12,ES12,ES12,ES12
ES13,ES13,ES13,ES13,ES13,ES13,ES13,ES13
ES13,ES13,ES13,ES13,ES13,ES13,ES13,ES13
ES21,ES21,ES21,ES21,ES21,ES21,ES21,ES21
ES22,ES22,ES22,ES22,ES22,ES22,ES22,ES22
ES22,ES22,ES22,ES22,ES22,ES22,ES22,ES22
ES23,ES23,ES23,ES23,ES23,ES23,ES23,ES23
ES23,ES23,ES23,ES23,ES23,ES23,ES23,ES23
ES24,ES24,ES24,ES24,ES24,ES24,ES24,ES24
ES30,ES30,ES30,ES30,ES30,ES30,ES30,ES3
ES30,ES30,ES30,ES30,ES30,ES30,ES30,ES3
ES30,ES30,ES30,ES30,ES30,ES30,ES30,ES3
ES41,ES41,ES41,ES41,ES41,ES41,ES41,ES41
ES42,ES42,ES42,ES42,ES42,ES42,ES42,ES42
ES43,ES43,ES43,ES43,ES43,ES43,ES43,ES43
ES51,ES51,ES51,ES51,ES51,ES51,ES51,ES51
ES52,ES52,ES52,ES52,ES52,ES52,ES52,ES52
ES53,ES53,ES53,ES53,ES53,ES53,ES53,ES53
ES53,ES53,ES53,ES53,ES53,ES53,ES53,ES53
ES61,ES61,ES61,ES61,ES61,ES61,ES61,ES61
ES62,ES62,ES62,ES62,ES62,ES62,ES62,ES62
ES62,ES62,ES62,ES62,ES62,ES62,ES62,ES62
ES63,ES63,ES63,ES63,ES63,ES63,ES63,ES63
ES64,ES64,ES64,ES64,ES64,ES64,ES64,ES63
ES70,ES70,ES70,ES70,ES70,ES70,ES70,ES7
ES70,ES70,ES70,ES70,ES70,ES70,ES70,ES7
ESZZ,ESZZ,ESZZ,ESZZ,ESZZ,ESZZ,ESZZ,NA
FI19,FI19,FI19,FI19,FI19,FI19,FI19,NA
FI1B,FI1B,FI1B,FI1B,FI1B,FI18,FI18,FI16
FI1C,FI1C,FI1C,FI1C,FI1C,FI18,FI18,FI16
FI1D,FI1D,FI1D,FI1D,FI1D,FI13,FI13,FI13
FI1D,FI1D,FI1D,FI1D,FI1D,FI1A,FI1A,FI15
FI20,FI20,FI20,FI20,FI20,FI20,FI20,FI2
FI20,FI20,FI20,FI20,FI20,FI20,FI20,FI2
FI20,FI20,FI20,FI20,FI20,FI20,FI20,FI2
FIZZ,FIZZ,FIZZ,FIZZ,FIZZ,FIZZ,FIZZ,NA
FR10,FR10,FR10,FR10,FR10,FR10,FR10,FR1
FR10,FR10,FR10,FR10,FR10,FR10,FR10,FR1
FRB0,FRB0,FRB0,FR24,FR24,FR24,FR24,FR24
FRC1,FRC1,FRC1,FR26,FR26,FR26,FR26,FR26
FRC2,FRC2,FRC2,FR43,FR43,FR43,FR43,FR43
FRD1,FRD1,FRD1,FR25,FR25,FR25,FR25,FR25
FRD2,FRD2,FRD2,FR23,FR23,FR23,FR23,FR23
FRE1,FRE1,FRE1,FR30,FR30,FR30,FR30,FR3
FRE1,FRE1,FRE1,FR30,FR30,FR30,FR30,FR3
FRE2,FRE2,FRE2,FR22,FR22,FR22,FR22,FR22
FRF1,FRF1,FRF1,FR42,FR42,FR42,FR42,FR42
FRF2,FRF2,FRF2,FR21,FR21,FR21,FR21,FR21
FRF3,FRF3,FRF3,FR41,FR41,FR41,FR41,FR41
FRG0,FRG0,FRG0,FR51,FR51,FR51,FR51,FR51
FRH0,FRH0,FRH0,FR52,FR52,FR52,FR52,FR52
FRI1,FRI1,FRI1,FR61,FR61,FR61,FR61,FR61
FRI2,FRI2,FRI2,FR63,FR63,FR63,FR63,FR63
FRI3,FRI3,FRI3,FR53,FR53,FR53,FR53,FR53
FRJ1,FRJ1,FRJ1,FR81,FR81,FR81,FR81,FR81
FRJ2,FRJ2,FRJ2,FR62,FR62,FR62,FR62,FR62
FRK1,FRK1,FRK1,FR72,FR72,FR72,FR72,FR72
FRK2,FRK2,FRK2,FR71,FR71,FR71,FR71,FR71
FRL0,FRL0,FRL0,FR82,FR82,FR82,FR82,FR82
FRM0,FRM0,FRM0,FR83,FR83,FR83,FR83,FR83
FRY1,FRY1,FRY1,FRA1,NA,NA,NA,NA
FRY2,FRY2,FRY2,FRA2,FR92,FR92,FR92,FR92
FRY2,FRY2,FRY2,FRA2,FR92,FR92,FR92,FR92
FRY3,FRY3,FRY3,FRA3,FR93,FR93,FR93,FR93
FRY3,FRY3,FRY3,FRA3,FR93,FR93,FR93,FR93
FRY4,FRY4,FRY4,FRA4,FR94,FR94,FR94,FR94
FRY4,FRY4,FRY4,FRA4,FR94,FR94,FR94,FR94
FRY5,FRY5,FRY5,FRA5,NA,NA,NA,NA
FRZZ,FRZZ,FRZZ,FRZZ,FRZZ,FRZZ,FRZZ,NA
HR02,HR02,NA,NA,NA,NA,NA,NA
HR03,HR03,HR03,HR03,HR03,NA,NA,NA
HR05,HR05,NA,NA,NA,NA,NA,NA
HR06,HR06,NA,NA,NA,NA,NA,NA
HRZZ,HRZZ,HRZZ,HRZZ,HRZZ,NA,NA,NA
HU11,HU11,HU11,NA,NA,NA,NA,NA
HU12,HU12,HU12,NA,NA,NA,NA,NA
HU21,HU21,HU21,HU21,HU21,HU21,HU21,NA
HU22,HU22,HU22,HU22,HU22,HU22,HU22,NA
HU23,HU23,HU23,HU23,HU23,HU23,HU23,NA
HU31,HU31,HU31,HU31,HU31,HU31,HU31,NA
HU32,HU32,HU32,HU32,HU32,HU32,HU32,NA
HU33,HU33,HU33,HU33,HU33,HU33,HU33,NA
HUZZ,HUZZ,HUZZ,HUZZ,HUZZ,HUZZ,HUZZ,NA
IE04,IE04,IE04,NA,NA,NA,NA,NA
IE05,IE05,IE05,NA,NA,NA,NA,NA
IE06,IE06,IE06,NA,NA,NA,NA,NA
IEZZ,IEZZ,IEZZ,IEZZ,IEZZ,IEZZ,IEZZ,NA
ITC1,ITC1,ITC1,ITC1,ITC1,ITC1,ITC1,IT11
ITC2,ITC2,ITC2,ITC2,ITC2,ITC2,ITC2,IT12
ITC3,ITC3,ITC3,ITC3,ITC3,ITC3,ITC3,IT13
ITC4,ITC4,ITC4,ITC4,ITC4,ITC4,ITC4,IT2
ITC4,ITC4,ITC4,ITC4,ITC4,ITC4,ITC4,IT2
ITF1,ITF1,ITF1,ITF1,ITF1,ITF1,ITF1,IT71
ITF2,ITF2,ITF2,ITF2,ITF2,ITF2,ITF2,IT72
ITF3,ITF3,ITF3,ITF3,ITF3,ITF3,ITF3,IT8
ITF3,ITF3,ITF3,ITF3,ITF3,ITF3,ITF3,IT8
